adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
false,/qP2X0AbU3fsnl24ezw7HOyVKk3R.jpg,"[35,80,53,27]",105397,cn,滅門慘案II：借種,"Another gruesome case involving a woman who's a sole survivor of a brutal massacre. A local constable questions the woman about her whereabouts and what might have happened the night before. As he gets the young woman to talk, she spins a tale of debauchery, madness and people so vile that you wished that they'll never see daylight again. Why is this woman so reluctant to talk? Who else might be involved in this ghastly murder? How will this bumbling cop get any solid leads or useful clues from this shell shocked woman?",58.892624999999995,/xXR6FJNfH77B3KfzMU9HgjXRSMB.jpg,1994-01-01,Daughter of Darkness 2,false,5.6,21
false,/A28EE0vgHrB0OdoxWWMfgfyEoYn.jpg,"[28,18,80,53]",1276945,nl,Ferry 2,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",58.838375,/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg,2024-12-19,Ferry 2,false,5.7,108
false,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,"[878,28]",335983,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",58.808625,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,2018-09-28,Venom,false,6.828,16431
false,/ubiu5Y7nP187ZFWUzjPj7Hgw6Go.jpg,[35],18785,en,The Hangover,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",58.751625,/A0uS9rHR56FeBtpjVki16M5xxSW.jpg,2009-06-02,The Hangover,false,7.322,17131
false,/zRKnSGqDK1w33G7xnWxE4cxFYQK.jpg,"[18,27]",195223,fr,Cérémonie d'amour,"Hugo, a vain clothing buyer, meets Myriam on a train and pursues a relationship with her. He is delighted to learn she is a prostitute and has no idea she has more in mind than Hugo bargained for.",58.745374999999996,/xnWDGkL25DccypKYIvv4fvPA2Y2.jpg,1987-07-19,Love Rites,false,4.6,16
false,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"[16,10751]",12,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",58.625875,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,2003-05-30,Finding Nemo,false,7.817,19536
false,/j0Ce4AsZi34NKYUZr61lh0PBQ7G.jpg,"[10749,18]",11036,en,The Notebook,"An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.",58.5985,/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,2004-05-25,The Notebook,false,7.89,11767
false,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,"[80,53,18]",475557,en,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",58.46675,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,2019-10-01,Joker,false,8.139,26247
false,/70AV2Xx5FQYj20labp0EGdbjI6E.jpg,"[28,12,80,53]",637649,en,Wrath of Man,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",58.41475,/M7SUK85sKjaStg4TKhlAVyGlz3.jpg,2021-04-22,Wrath of Man,false,7.624,5506
false,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,"[28,12,878]",99861,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",58.30475,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,2015-04-22,Avengers: Age of Ultron,false,7.271,23310
false,/P3GAbRjzVo9RKU4WxzvtgwlITc.jpg,"[28,18]",678512,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",58.148,/qA5kPYZA7FkVvqcEfJRoOy4kpHg.jpg,2023-07-03,Sound of Freedom,false,7.993,2503
false,/4npL5g0QOxuIZKsEx6SnC8niDuo.jpg,"[27,53,878]",170,en,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",58.123000000000005,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,2002-10-31,28 Days Later,false,7.2,6997
false,/weAYfu6FfrNxEDJ3xH1XpgQcqUv.jpg,"[14,18,10749]",8966,en,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.",58.01775000000001,/3Gkb6jm6962ADUPaCBqzz9CTbn9.jpg,2008-11-20,Twilight,false,6.287,13716
false,/p4INKu77iuTG1o1a5N3Y9vqeEGq.jpg,"[27,53]",1079485,en,Winnie-the-Pooh: Blood and Honey 2,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.",57.942499999999995,/2sADrLwMQof6yYmrJRSa04tFZuS.jpg,2024-03-26,Winnie-the-Pooh: Blood and Honey 2,false,6,345
false,/hQ9grQ2RjHS3X7crItJqhoGvUPm.jpg,"[28,53,80]",1147710,ko,하이재킹,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",57.92337500000001,/68jNkFi61MQjrJEqj2up5wZ4w5R.jpg,2024-06-21,Hijack 1971,false,6.4,99
false,/1jHxkVXMI5s3vRiyiZooUy1shB5.jpg,"[12,14,28]",285,en,Pirates of the Caribbean: At World's End,"Will Turner and Elizabeth Swann join forces with the revived Captain Barbossa to free Jack Sparrow from Davy Jones' locker. The group must navigate dangerous waters, confront many foes and, ultimately, choose sides in a battle wherein piracy itself hangs in the balance.",57.437875,/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,2007-05-19,Pirates of the Caribbean: At World's End,false,7.3,14599
false,/cyecB7godJ6kNHGONFjUyVN9OX5.jpg,"[28,878,12]",1726,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",57.3825,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008-04-30,Iron Man,false,7.648,26776
false,/urDWNffjwmNi5IQaezw9GwqkUXa.jpg,"[12,14]",767,en,Harry Potter and the Half-Blood Prince,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",57.335375,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,2009-07-15,Harry Potter and the Half-Blood Prince,false,7.684,19762
false,/xgDj56UWyeWQcxQ44f5A3RTWuSs.jpg,"[16,35,10751,14]",2062,en,Ratatouille,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",57.22275,/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,2007-06-28,Ratatouille,false,7.8,17364
false,/dGGjuaUR253aAZ2Zhto2Y9TR9l6.jpg,"[16,9648,878,28,18]",1299652,en,Watchmen: Chapter II,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",57.21925,/4rBObJFpiWJOG7aIlRrOUniAkBs.jpg,2024-11-25,Watchmen: Chapter II,false,7.5,96
false,/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg,"[27,878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",56.941374999999994,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,1979-05-25,Alien,false,8.162,15140
false,/mUYV0ZdsDEliGaQahcQH1F3grsP.jpg,"[16,10751,12]",10674,en,Mulan,"To save her father from certain death in the army, a young woman secretly enlists in his place and becomes one of China's greatest heroines in the process.",56.92875000000001,/bj3iSjLlkwHtJrPmvHXa8P7edI9.jpg,1998-06-18,Mulan,false,7.905,9854
false,/eW2e6xkVNkWanabMkuYmF9jwgW9.jpg,[18],1395724,ja,痴人の愛,"Kawai Joji, an aspiring screenwriter who has won a screenplay competition but has yet to make his professional debut, meets a beautiful woman, Naomi, in a rundown bar one day. Naomi says she is working at the bar while aiming to become an actress. On another day, Joji is asked by his screenplay instructor if he would like to write a screenplay for a film based on Tanizaki Junichiro's ""A Fool's Love"" on his behalf. Joji is determined to succeed this time, but struggles to write the script. Meanwhile, Joji meets Naomi again, and the two of them quickly become closer, but...",56.899125,/fKNBwFKX4VMC73hJr81GpsoUsQO.jpg,2024-11-29,Chijin no Ai,false,6,1
false,/n3JeGELHa9V6k9mL81ItMxWLSS6.jpg,"[28,53,27]",1129598,en,Prey,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,56.8545,/aOsPclgSiOqhndI2Xp2ksz2g9n6.jpg,2024-03-15,Prey,false,6.2,309
false,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,"[18,10749]",337167,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",56.75375,/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg,2018-01-17,Fifty Shades Freed,false,6.7,8079
false,/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg,"[12,28,878]",271110,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",56.720749999999995,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,2016-04-27,Captain America: Civil War,false,7.4,22999
false,/hGGC9gKo7CFE3fW07RA587e5kol.jpg,"[16,35,10751,12]",14160,en,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",56.630125,/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,2009-05-28,Up,false,8,20518
false,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"[18,80]",240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",56.616,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather Part II,false,8.569,12801
false,/8G6HCS82vNxgg5wp7oBDSk32XpF.jpg,"[28,12,878]",558,en,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. A certain anger begins to brew in his best friend Harry Osborn as well...",56.482,/olxpyq9kJAZ2NU1siLshhhXEPR7.jpg,2004-06-25,Spider-Man 2,false,7.288,15377
false,/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,"[28,12,80]",385128,en,F9,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,56.470749999999995,/deEmLILTPejEb6OGsXRJ5MCvyDW.jpg,2021-05-19,F9,false,7.1,7309
